C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\transformer.py:379: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
2026-03-05 00:37:25,872 | INFO | Epoch 043 | train L=-25.02324 A_total=0.4916 NF_acc=0.8857 skip=0 | val L=-22.65069 A_total=0.3610 NF_acc=0.7793 skip=0
2026-03-05 00:37:51,202 | INFO | Epoch 044 | train L=-25.14068 A_total=0.5007 NF_acc=0.8897 skip=0 | val L=-22.32340 A_total=0.4226 NF_acc=0.7750 skip=0
2026-03-05 00:39:24,774 | INFO | Epoch 045 | train L=-25.53367 A_total=0.5123 NF_acc=0.8951 skip=0 | val L=-22.60460 A_total=0.2556 NF_acc=0.7967 skip=0
2026-03-05 00:39:57,657 | INFO | Epoch 046 | train L=-25.71441 A_total=0.5128 NF_acc=0.8952 skip=0 | val L=-22.71974 A_total=0.4358 NF_acc=0.7997 skip=0
2026-03-05 00:40:21,692 | INFO | Epoch 047 | train L=-25.93033 A_total=0.5233 NF_acc=0.8993 skip=0 | val L=-21.22761 A_total=0.4283 NF_acc=0.7943 skip=0
2026-03-05 00:40:45,658 | INFO | Epoch 048 | train L=-25.91721 A_total=0.5283 NF_acc=0.9039 skip=0 | val L=-22.87572 A_total=0.3837 NF_acc=0.8083 skip=0
2026-03-05 00:41:09,752 | INFO | Epoch 049 | train L=-26.22206 A_total=0.5268 NF_acc=0.9075 skip=0 | val L=-22.77513 A_total=0.3822 NF_acc=0.7800 skip=0
2026-03-05 00:41:33,702 | INFO | Epoch 050 | train L=-26.35723 A_total=0.5279 NF_acc=0.9077 skip=0 | val L=-23.08905 A_total=0.4713 NF_acc=0.8043 skip=0
2026-03-05 00:41:57,783 | INFO | Epoch 051 | train L=-26.65167 A_total=0.5530 NF_acc=0.9117 skip=0 | val L=-22.27899 A_total=0.3857 NF_acc=0.7587 skip=0
2026-03-05 00:42:21,782 | INFO | Epoch 052 | train L=-26.78820 A_total=0.5473 NF_acc=0.9177 skip=0 | val L=-23.26647 A_total=0.4506 NF_acc=0.8147 skip=0
2026-03-05 00:42:45,748 | INFO | Epoch 053 | train L=-26.92218 A_total=0.5471 NF_acc=0.9201 skip=0 | val L=-23.19844 A_total=0.4398 NF_acc=0.7963 skip=0
2026-03-05 00:43:09,727 | INFO | Epoch 054 | train L=-27.17476 A_total=0.5628 NF_acc=0.9254 skip=0 | val L=-23.45239 A_total=0.4494 NF_acc=0.7583 skip=0
